content,author,category,sentiment,timestamp,likes,comments
I'm disappointed with the noise from construction. Can we please find a solution?,Christopher M.,neighborhood-watch,negative,2025-08-03 13:52:20,5,1
Thank you to everyone who helped with the community pool!,Jessica L.,general,positive,2025-08-05 12:29:20,34,14
I'm so happy about the playground improvements - great job everyone! It's been such a positive experience for everyone involved.,James W.,general,positive,2025-08-09 21:17:20,18,12
Kudos to the community pool - you're making our community better!,Michael S.,events,positive,2025-08-11 07:32:20,36,9
I'm really frustrated with the parking situation.,Rachel S.,crime-safety,negative,2025-08-03 15:25:20,2,8
Thank you to everyone who helped with the new community garden!,Alex P.,recommendations,positive,2025-07-16 09:13:20,17,15
Can someone help me understand the neighborhood history?,James W.,local-news,neutral,2025-07-31 10:19:20,6,3
This is why I love living here - the local businesses! It's been such a positive experience for everyone involved.,William R.,general,positive,2025-08-10 02:58:20,28,11
I'm really frustrated with the safety hazards.,Maria L.,neighborhood-watch,negative,2025-08-05 10:42:20,16,16
Thank you to everyone who helped with the community pool!,Elizabeth S.,events,positive,2025-08-06 02:32:20,14,1
Kudos to the new community garden - you're making our community better! I hope we can continue this great work!,Jessica L.,recommendations,positive,2025-07-21 15:35:20,19,4
I'm so grateful for the holiday decorations in our neighborhood.,Michelle J.,events,positive,2025-08-08 11:20:20,36,13
Our community is the best because of the community center!,Elizabeth S.,local-news,positive,2025-08-07 01:03:20,22,7
I'm so grateful for the street lighting in our neighborhood. I hope we can continue this great work!,Alex P.,events,positive,2025-08-06 07:29:20,13,7
Can someone help me understand the new development plans?,Barbara M.,classifieds,neutral,2025-07-13 17:28:20,1,0
I just wanted to share how wonderful the playground improvements has been!,Tom B.,events,positive,2025-08-09 04:20:20,27,14
What's the deal with the new development plans?,Emma W.,general,neutral,2025-07-16 18:07:20,11,8
I'm so grateful for the community center in our neighborhood.,Tom B.,local-news,positive,2025-07-14 14:23:20,9,4
I'm concerned about the parking situation in our neighborhood.,Joseph C.,crime-safety,negative,2025-07-27 03:19:20,20,10
What a great community we have! the recycling program,Barbara M.,events,positive,2025-07-28 10:03:20,11,0
This is getting out of hand - the parking situation. I'm at my wit's end with this.,Barbara M.,noise-complaints,negative,2025-07-15 19:16:20,6,4
I'm trying to figure out the zoning changes.,Mike T.,local-news,neutral,2025-08-03 01:31:20,12,5
This is why I love living here - the neighborhood association! It's been such a positive experience for everyone involved.,Joseph C.,recommendations,positive,2025-08-04 20:13:20,44,3
This is why I love living here - the community pool! It's been such a positive experience for everyone involved.,Mike T.,general,positive,2025-07-23 10:26:20,31,13
Can we please address the communication problems? This has been going on for too long. Can we please find a solution?,James W.,noise-complaints,negative,2025-07-15 20:27:20,14,0
Why is the property maintenance still happening? This has been going on for too long.,Jennifer H.,general,negative,2025-07-17 19:20:20,7,13
Something needs to be done about the security concerns.,Mike T.,general,negative,2025-08-08 01:54:20,8,24
I'm so grateful for the playground improvements in our neighborhood. It's been such a positive experience for everyone involved.,David K.,events,positive,2025-07-27 21:43:20,19,8
I just wanted to share how wonderful the local farmers market has been!,Michelle J.,events,positive,2025-07-18 17:09:20,16,12
I'm trying to figure out the community guidelines.,Ashley T.,classifieds,neutral,2025-07-14 11:23:20,13,10
This is why I love living here - the neighborhood watch program! It's been such a positive experience for everyone involved.,Amanda F.,local-news,positive,2025-08-01 18:58:20,46,10
This is why I love living here - the playground improvements! It's been such a positive experience for everyone involved.,John D.,events,positive,2025-08-10 05:04:20,38,0
Why is the neighbor disputes still happening? This has been going on for too long. Can we please find a solution? I'm at my wit's end with this.,Mike T.,neighborhood-watch,negative,2025-07-19 17:32:20,10,19
Has anyone noticed the community guidelines?,Ashley T.,general,neutral,2025-08-01 15:37:20,13,4
Thank you to everyone who helped with the neighborhood association!,Jennifer H.,local-news,positive,2025-07-29 03:33:20,35,10
I love how our neighborhood the local events! It's been such a positive experience for everyone involved.,Robert C.,general,positive,2025-07-29 12:34:20,24,1
Our community is the best because of the local businesses!,Michelle J.,general,positive,2025-08-07 02:17:20,43,1
This is getting out of hand - the property maintenance.,Elizabeth S.,crime-safety,negative,2025-07-29 01:06:20,19,18
I'm so happy about the community center - great job everyone!,William R.,general,positive,2025-08-02 16:24:20,33,7
Why is the safety hazards still happening?,Ashley T.,general,negative,2025-08-01 14:38:20,13,3
I'm so happy about the walking trails - great job everyone!,Alex P.,local-news,positive,2025-07-20 20:40:20,14,11
I'm wondering about the local events. Any information would be helpful.,Lisa R.,events,neutral,2025-07-17 02:12:20,6,8
I'm concerned about the street maintenance in our neighborhood.,John D.,noise-complaints,negative,2025-07-20 20:37:20,14,24
This the noise complaints situation is unacceptable. This has been going on for too long.,Alex P.,general,negative,2025-07-25 10:43:20,10,1
Has anyone noticed the traffic patterns? Any information would be helpful.,Michelle J.,local-news,neutral,2025-08-06 22:44:20,7,8
Kudos to the holiday decorations - you're making our community better!,Robert C.,local-news,positive,2025-07-14 22:54:20,42,13
Thank you to everyone who helped with the playground improvements! It's been such a positive experience for everyone involved.,David K.,local-news,positive,2025-08-05 22:20:20,34,1
Has anyone noticed the city policies? Any information would be helpful.,Sarah M.,events,neutral,2025-07-24 19:52:20,14,2
Kudos to the neighborhood watch program - you're making our community better! I hope we can continue this great work!,Linda H.,local-news,positive,2025-08-04 04:30:20,30,1
