author,category,comments,content,likes,misinformation_risk,sentiment,timestamp
Nicole R.,general,20,Something needs to be done about the property damage.,17,,negative,2025-08-05 18:25:28
Elizabeth S.,general,10,I love how our neighborhood the local events!,20,,positive,2025-07-19 05:30:28
Barbara M.,general,6,Kudos to the recycling program - you're making our community better!,22,,positive,2025-07-24 11:50:28
Patricia K.,general,4,Thank you to everyone who helped with the new community garden! It's been such a positive experience for everyone involved.,39,,positive,2025-07-18 14:31:28
Lisa R.,noise-complaints,11,I'm really frustrated with the rule violations. I'm at my wit's end with this.,14,,negative,2025-07-31 00:15:28
Alex P.,recommendations,10,I just wanted to share how wonderful the community center has been! It's been such a positive experience for everyone involved.,48,,positive,2025-08-12 07:53:28
Joseph C.,local-news,4,I'm looking for information on the utility work.,8,,neutral,2025-08-06 13:18:28
Linda H.,general,20,NOTICE: the school district changes - this is what's really happening! Share this with everyone you know!,4,high,negative,2025-07-19 22:02:28
Steven L.,classifieds,0,I noticed the local events - any thoughts? Any information would be helpful.,0,,neutral,2025-07-27 16:53:28
Michael S.,recommendations,7,This is why I love living here - the community center! I hope we can continue this great work!,22,,positive,2025-07-28 11:22:28
Michelle J.,general,24,I'm concerned about the communication problems in our neighborhood.,11,,negative,2025-07-18 13:28:28
Steven L.,general,9,I noticed the community meetings - any thoughts? Any information would be helpful.,11,,neutral,2025-07-28 22:29:28
Elizabeth S.,general,6,I'm concerned about the property maintenance in our neighborhood. This has been going on for too long.,18,,negative,2025-08-06 20:54:28
Christopher M.,general,3,Does anyone know about the community guidelines?,10,,neutral,2025-07-20 12:58:28
Kevin B.,events,11,Thank you to everyone who helped with the playground improvements!,18,,positive,2025-07-30 22:49:28
Sarah M.,local-news,6,I just wanted to share how wonderful the walking trails has been!,16,,positive,2025-08-02 08:03:28
Emma W.,local-news,12,Our community is the best because of the new community garden! It's been such a positive experience for everyone involved.,23,,positive,2025-08-02 13:31:28
Elizabeth S.,noise-complaints,3,I'm tired of dealing with the communication problems.,15,,negative,2025-07-22 05:57:28
Sarah M.,recommendations,14,Kudos to the street lighting - you're making our community better! It's been such a positive experience for everyone involved.,6,,positive,2025-07-25 07:44:28
Robert C.,recommendations,12,I'm so grateful for the holiday decorations in our neighborhood. I hope we can continue this great work!,17,,positive,2025-07-15 17:31:28
Sarah M.,local-news,16,URGENT: the school district changes - they don't want you to know this! Share this with everyone you know!,2,high,negative,2025-07-29 06:12:28
Maria L.,general,12,What a great community we have! the holiday decorations I hope we can continue this great work!,9,,positive,2025-07-26 06:13:28
Mike T.,general,6,This is getting out of hand - the communication problems. Can we please find a solution?,5,,negative,2025-07-20 06:29:28
William R.,recommendations,7,Thank you to everyone who helped with the recycling program!,50,,positive,2025-07-20 01:51:28
Alex P.,classifieds,6,I noticed the new development plans - any thoughts?,6,,neutral,2025-07-22 18:25:28
Rachel S.,crime-safety,9,I'm really frustrated with the property damage. Can we please find a solution?,1,,negative,2025-08-02 14:00:28
Richard D.,events,12,What a great community we have! the holiday decorations It's been such a positive experience for everyone involved.,19,,positive,2025-07-30 04:23:28
Linda H.,general,6,I'm wondering about the zoning changes.,13,,neutral,2025-07-29 11:46:28
Michelle J.,events,10,I'm wondering about the upcoming elections.,6,,neutral,2025-08-01 01:02:28
Jessica L.,general,8,I'm looking for information on the utility work. Any information would be helpful.,11,,neutral,2025-07-14 10:24:28
Sarah M.,neighborhood-watch,5,Can we please address the communication problems? This has been going on for too long.,17,,negative,2025-07-16 01:34:28
Michelle J.,events,5,This is why I love living here - the neighborhood watch program!,21,,positive,2025-07-17 22:50:28
Joseph C.,local-news,16,ATTENTION: the property tax increases - this is the truth they don't want you to hear!,1,high,negative,2025-07-13 13:27:28
Steven L.,events,9,What's the deal with the weather alerts?,13,,neutral,2025-08-09 06:15:28
Maria L.,local-news,15,I'm so grateful for the local businesses in our neighborhood.,48,,positive,2025-08-05 00:04:28
Michael S.,noise-complaints,8,This the rule violations is affecting our quality of life.,18,,negative,2025-08-12 22:01:28
John D.,general,0,I'm trying to figure out the utility work. Any information would be helpful.,6,,neutral,2025-07-20 04:31:28
Kevin B.,recommendations,0,What a great community we have! the playground improvements,38,,positive,2025-07-14 10:25:28
Tom B.,local-news,2,Can someone help me understand the zoning changes? Any information would be helpful.,5,,neutral,2025-07-15 23:30:28
Maria L.,classifieds,4,I'm wondering about the neighborhood changes. Thanks in advance!,13,,neutral,2025-08-03 14:32:28
Jessica L.,recommendations,4,Our community is the best because of the recycling program!,35,,positive,2025-07-22 21:01:28
Kevin B.,general,25,I'm tired of dealing with the safety hazards. Can we please find a solution?,7,,negative,2025-08-07 15:55:28
Christopher M.,recommendations,14,Our community is the best because of the new community garden!,24,,positive,2025-08-07 20:42:28
Ashley T.,general,0,What do you think about the community meetings?,15,,neutral,2025-08-04 02:59:28
Patricia K.,classifieds,0,What do you think about the local events?,1,,neutral,2025-07-17 22:11:28
Kevin B.,crime-safety,24,Why is the noise complaints still happening? I'm at my wit's end with this.,9,,negative,2025-08-10 07:55:28
Mike T.,recommendations,0,Our community is the best because of the recycling program! It's been such a positive experience for everyone involved.,25,,positive,2025-08-03 21:05:28
Barbara M.,classifieds,6,I noticed the emergency procedures - any thoughts? Any information would be helpful.,8,,neutral,2025-07-30 11:50:28
Richard D.,local-news,3,I'm curious about the local news.,10,,neutral,2025-08-08 01:33:28
Robert C.,classifieds,8,What do you think about the new development plans? Any information would be helpful. Thanks in advance!,12,,neutral,2025-07-22 23:07:28
Joseph C.,general,13,Why is the property maintenance still happening?,8,,negative,2025-07-22 06:02:28
Elizabeth S.,general,19,Can we please address the safety hazards?,12,,negative,2025-08-02 02:21:28
Barbara M.,noise-complaints,8,Something needs to be done about the garbage collection schedule.,8,,negative,2025-07-16 17:50:28
David K.,local-news,2,I'm so grateful for the community center in our neighborhood. It's been such a positive experience for everyone involved.,48,,positive,2025-07-27 10:52:28
Linda H.,noise-complaints,9,I'm concerned about the neighbor disputes in our neighborhood.,10,,negative,2025-08-08 05:28:28
Nicole R.,crime-safety,11,Why is the community conflicts still happening? This has been going on for too long. Can we please find a solution? I'm at my wit's end with this.,0,,negative,2025-07-24 19:30:28
Kevin B.,general,14,I'm concerned about the maintenance issues in our neighborhood. Can we please find a solution?,14,,negative,2025-07-31 16:53:28
Tom B.,recommendations,12,Thank you to everyone who helped with the community center!,11,,positive,2025-08-05 15:28:28
Robert C.,recommendations,3,Kudos to the holiday decorations - you're making our community better!,42,,positive,2025-08-03 22:09:28
Jessica L.,events,8,Has anyone noticed the city policies? Thanks in advance!,0,,neutral,2025-07-13 11:34:28
